,DateAndTime,Irradiance
554,02-07-2021 22:05,0
555,02-07-2021 22:10,0
556,02-07-2021 22:15,0
557,02-07-2021 22:20,0
558,02-07-2021 22:25,0
559,02-07-2021 22:30,0
560,02-07-2021 22:35,0
561,02-07-2021 22:40,0
562,02-07-2021 22:45,0
563,02-07-2021 22:50,0
564,02-07-2021 22:55,0
565,02-07-2021 23:00,0
566,02-07-2021 23:05,0
567,02-07-2021 23:10,0
568,02-07-2021 23:15,0
569,02-07-2021 23:20,0
570,02-07-2021 23:25,0
571,02-07-2021 23:30,0
572,02-07-2021 23:35,0
573,02-07-2021 23:40,0
574,02-07-2021 23:45,0
575,02-07-2021 23:50,0
576,02-07-2021 23:55,0
577,03-07-2021 00:00,0
578,03-07-2021 00:05,0
579,03-07-2021 00:10,0
580,03-07-2021 00:15,0
581,03-07-2021 00:20,0
582,03-07-2021 00:25,0
583,03-07-2021 00:30,0
584,03-07-2021 00:35,0
585,03-07-2021 00:40,0
586,03-07-2021 00:45,0
587,03-07-2021 00:50,0
588,03-07-2021 00:55,0
589,03-07-2021 01:00,0
590,03-07-2021 01:05,0
591,03-07-2021 01:10,0
592,03-07-2021 01:15,0
593,03-07-2021 01:20,0
594,03-07-2021 01:25,0
595,03-07-2021 01:30,0
596,03-07-2021 01:35,0
597,03-07-2021 01:40,0
598,03-07-2021 01:45,0
599,03-07-2021 01:50,0
600,03-07-2021 01:55,0
601,03-07-2021 02:00,0
602,03-07-2021 02:05,0
603,03-07-2021 02:10,0
604,03-07-2021 02:15,0
605,03-07-2021 02:20,0
606,03-07-2021 02:25,0
607,03-07-2021 02:30,0
608,03-07-2021 02:35,0
609,03-07-2021 02:40,0
610,03-07-2021 02:45,0
611,03-07-2021 02:50,0
612,03-07-2021 02:55,0
613,03-07-2021 03:00,0
614,03-07-2021 03:05,0
615,03-07-2021 03:10,0
616,03-07-2021 03:15,0
617,03-07-2021 03:20,0
618,03-07-2021 03:25,0
619,03-07-2021 03:30,0
620,03-07-2021 03:35,0
621,03-07-2021 03:40,0
622,03-07-2021 03:45,0
623,03-07-2021 03:50,0
624,03-07-2021 03:55,0
625,03-07-2021 04:00,0
626,03-07-2021 04:05,0
627,03-07-2021 04:10,0
628,03-07-2021 04:15,0
629,03-07-2021 04:20,0
630,03-07-2021 04:25,0
631,03-07-2021 04:30,0
632,03-07-2021 04:35,0
633,03-07-2021 04:40,0
634,03-07-2021 04:45,0
635,03-07-2021 04:50,0
636,03-07-2021 04:55,0
637,03-07-2021 05:00,0
638,03-07-2021 05:05,0
639,03-07-2021 05:10,0
640,03-07-2021 05:15,0
641,03-07-2021 05:20,0
642,03-07-2021 05:25,0
643,03-07-2021 05:30,0
644,03-07-2021 05:35,0
645,03-07-2021 05:40,0
646,03-07-2021 05:45,0
647,03-07-2021 05:50,0
648,03-07-2021 05:55,0
649,03-07-2021 06:00,0
650,03-07-2021 06:05,0
651,03-07-2021 06:10,1.336028576
652,03-07-2021 06:15,4.680259228
653,03-07-2021 06:20,8.563346863
654,03-07-2021 06:25,12.44245052
655,03-07-2021 06:30,17.40283966
656,03-07-2021 06:35,24.79092216
657,03-07-2021 06:40,31.51738739
658,03-07-2021 06:45,40.7022171
659,03-07-2021 06:50,48.55925369
660,03-07-2021 06:55,57.75871277
661,03-07-2021 07:00,61.31872559
662,03-07-2021 07:05,64.15100098
663,03-07-2021 07:10,68.21137238
664,03-07-2021 07:15,79.29429626
665,03-07-2021 07:20,95.27547455
666,03-07-2021 07:25,109.1958237
667,03-07-2021 07:30,115.8562469
668,03-07-2021 07:35,113.3762817
669,03-07-2021 07:40,116.7781219
670,03-07-2021 07:45,115.3806534
671,03-07-2021 07:50,142.8211365
672,03-07-2021 07:55,155.934494
673,03-07-2021 08:00,187.7723083
674,03-07-2021 08:05,189.0613556
675,03-07-2021 08:10,202.5530243
676,03-07-2021 08:15,205.68927
677,03-07-2021 08:20,206.2809601
678,03-07-2021 08:25,238.7637634
679,03-07-2021 08:30,250.0074768
680,03-07-2021 08:35,225.9124908
681,03-07-2021 08:40,280.0419312
682,03-07-2021 08:45,292.8134766
683,03-07-2021 08:50,304.6557312
684,03-07-2021 08:55,262.8246765
685,03-07-2021 09:00,318.0303345
686,03-07-2021 09:05,357.4579468
687,03-07-2021 09:10,409.5587463
688,03-07-2021 09:15,402.1954956
689,03-07-2021 09:20,537.1884155
690,03-07-2021 09:25,428.0190735
691,03-07-2021 09:30,523.7301636
692,03-07-2021 09:35,481.6361084
693,03-07-2021 09:40,416.7529297
694,03-07-2021 09:45,385.7641296
695,03-07-2021 09:50,440.6318359
696,03-07-2021 09:55,481.7597656
697,03-07-2021 10:00,635.7744751
698,03-07-2021 10:05,503.9430237
699,03-07-2021 10:10,641.1025391
700,03-07-2021 10:15,411.6137695
701,03-07-2021 10:20,853.3475342
702,03-07-2021 10:25,742.1721191
703,03-07-2021 10:30,718.0450439
704,03-07-2021 10:35,903.9507446
705,03-07-2021 10:40,971.2809448
706,03-07-2021 10:45,902.8328247
707,03-07-2021 10:50,929.2399902
708,03-07-2021 10:55,894.2965088
709,03-07-2021 11:00,607.805481
710,03-07-2021 11:05,325.4925537
711,03-07-2021 11:10,351.9798279
712,03-07-2021 11:15,994.7075806
713,03-07-2021 11:20,335.9122009
714,03-07-2021 11:25,348.4801941
715,03-07-2021 11:30,1028.496094
716,03-07-2021 11:35,362.3456726
717,03-07-2021 11:40,981.7660522
718,03-07-2021 11:45,687.7328491
719,03-07-2021 11:50,401.0314941
720,03-07-2021 11:55,375.2572632
721,03-07-2021 12:00,789.4396362
722,03-07-2021 12:05,329.9868774
723,03-07-2021 12:10,979.5123901
724,03-07-2021 12:15,713.9588013
725,03-07-2021 12:20,411.9483032
726,03-07-2021 12:25,775.8297729
727,03-07-2021 12:30,687.6340332
728,03-07-2021 12:35,521.2956543
729,03-07-2021 12:40,315.9607849
730,03-07-2021 12:45,286.2394409
731,03-07-2021 12:50,873.2180176
732,03-07-2021 12:55,487.9021301
733,03-07-2021 13:00,412.849823
734,03-07-2021 13:05,318.6365051
735,03-07-2021 13:10,253.1694641
736,03-07-2021 13:15,602.1434326
737,03-07-2021 13:20,573.8540649
738,03-07-2021 13:25,383.8352966
739,03-07-2021 13:30,378.0860901
740,03-07-2021 13:35,354.1438293
741,03-07-2021 13:40,364.6183472
742,03-07-2021 13:45,831.315918
743,03-07-2021 13:50,885.9804077
744,03-07-2021 13:55,673.1697998
745,03-07-2021 14:00,605.1663208
746,03-07-2021 14:05,562.2441406
747,03-07-2021 14:10,972.5939331
748,03-07-2021 14:15,677.7328491
749,03-07-2021 14:20,607.0335693
750,03-07-2021 14:25,910.0065918
751,03-07-2021 14:30,877.8499146
752,03-07-2021 14:35,904.9533691
753,03-07-2021 14:40,883.7459717
754,03-07-2021 14:45,890.8320923
755,03-07-2021 14:50,348.4991455
756,03-07-2021 14:55,870.8096924
757,03-07-2021 15:00,796.916626
758,03-07-2021 15:05,440.0407104
759,03-07-2021 15:10,211.1492615
760,03-07-2021 15:15,430.5583191
761,03-07-2021 15:20,775.6029663
762,03-07-2021 15:25,475.8781128
763,03-07-2021 15:30,708.0280151
764,03-07-2021 15:35,169.5813904
765,03-07-2021 15:40,364.9159851
766,03-07-2021 15:45,671.4241943
767,03-07-2021 15:50,620.0854492
768,03-07-2021 15:55,286.1446838
769,03-07-2021 16:00,165.6242828
770,03-07-2021 16:05,603.7518311
771,03-07-2021 16:10,343.6531372
772,03-07-2021 16:15,162.0568695
773,03-07-2021 16:20,176.3834076
774,03-07-2021 16:25,567.4191284
775,03-07-2021 16:30,553.6611328
776,03-07-2021 16:35,204.4323273
777,03-07-2021 16:40,250.4515076
778,03-07-2021 16:45,123.545578
779,03-07-2021 16:50,138.0057373
780,03-07-2021 16:55,276.0396118
781,03-07-2021 17:00,85.8365097
782,03-07-2021 17:05,71.95661926
783,03-07-2021 17:10,67.36290741
784,03-07-2021 17:15,64.09348297
785,03-07-2021 17:20,69.77835846
786,03-07-2021 17:25,80.26692963
787,03-07-2021 17:30,88.64590454
788,03-07-2021 17:35,117.3764725
789,03-07-2021 17:40,98.60327911
790,03-07-2021 17:45,166.0482941
791,03-07-2021 17:50,128.3043518
792,03-07-2021 17:55,232.62854
793,03-07-2021 18:00,140.3081207
794,03-07-2021 18:05,131.0490112
795,03-07-2021 18:10,65.86581421
796,03-07-2021 18:15,56.65202713
797,03-07-2021 18:20,56.77473068
798,03-07-2021 18:25,41.13858414
799,03-07-2021 18:30,26.25038719
800,03-07-2021 18:35,14.29807091
801,03-07-2021 18:40,9.084765434
802,03-07-2021 18:45,3.041725397
803,03-07-2021 18:50,0
804,03-07-2021 18:55,0
805,03-07-2021 19:00,0
806,03-07-2021 19:05,0
807,03-07-2021 19:10,0
808,03-07-2021 19:15,0
